project	contributors	comment_count	comment_word_count	comment_character_count	note_count	note_word_count	note_character_count	document_count	document_word_count	document_character_count	cited_dois	total_word_count	total_character_count
EdgeProject	3	12	907	5129	0	0	0	1	632	4230	0	1539	9359
HHMI_Bcr_Abl	6	97	2548	14822	0	0	0	1	1880	12348	13	4428	27170
LWT_FOR_OPEN_SCIENCE	0	0	0	0	0	0	0	1	3152	20111	7	3152	20111
MicrobeResist	7	21	3148	18448	7	353	1933	1	1644	11035	21	5145	31416
dFoxPoperant	2	5	1346	7897	0	0	0	1	7815	48953	47	9161	56850
issnindiadatabase	2	2	42	228	0	0	0	1	281	1634	0	323	1862
meta	16	188	20791	120038	80	2076	11510	1	41	230	11	22908	131778
pathways4life	5	39	3102	17941	3	28	165	1	8141	51944	19	11271	70050
rephetio	47	575	114343	718131	180	7069	41125	3	12364	82167	581	133776	841423
thinklabOSP	6	177	9129	51541	1	71	429	1	2395	14716	11	11595	66686
